Code,Message,Remediation
7000011,Requested SAML 2.0 assertion has invalid SubjectConfirmation Method: {method}.,
7000012,The grant was obtained for a different tenant.,
7000013,The grant is not supported by API version {apiVersion}.,
7000014,The provided value for the input parameter 'device_code' is not valid.,
7000015,The grant was obtained for a different tenant.,
7000016,Primary refresh token is not signed with session key.,
7000017,Broker restricted refresh token can't be used as credential.,
7000018,Token binding header is empty.,
7000019,Token binding hash does not match.,
7000020,SAML 2.0 Bearer assertion must be a valid Base64Url encoded value.,
7000021,Unrecognized grant type {type}.,
7000022,VSM Binding Key missing from Ticket Granting Ticket request.,
7000023,VSM Binding key mismatch.,
7000024,Inconsistent broker application IDs asserted by incoming credentials.,
7000025,Ambiguous request. The grant contains duplicate claims.,
7000026,"Provided grant is invalid or malformed. The grant requires an encrypted response, but the client is not indicating it understands encrypted responses.",
7000027,An emergency refresh token is present but rejected.,
7000028,Attestation key is required for this request but it doesn't exist in the device. Please consider re-enrolling the device.,
7000029,The token binding claim is invalid because it was not generated on the same device as attestation key. Please verify the legitimacy of the device.,
7000030,The token binding claim is invalid because the thumbprint of binding key does not match the thumbprint in the binding claim or the thumbprint in the binding claim is missing. Please verify the legitimacy of the device.,
7000031,The signing algorithm {algorithm} of attestation key is not supported. Please consider re-enrolling the device and update the attestation key.,
7000032,The security enclave type {enclave} of the token binding key is unknown. Please consider re-enrolling the device.,
7000033,Token doesn't contain expected claim: '{claim}'.,
7000034,The token binding claim is malformatted. Please consider re-enrolling the device.,
7000035,The token binding data header is malformatted. Please consider re-enrolling the device.,
7000036,The token binding key parameter (tbid/tbidv2) is not properly base64-encoded. Please contact you administrator.,
7000040,Application {appid} is not authorized to override Fabric resource IDs and trust mode claims.,
7000041,Fabric claims overrides are only supported for Azure AD Federated Identity Credentials issued by the same cloud.,
7000042,The audience in the client assertion with Application Id {appid} is not allowed to override Fabric resource IDs and trust mode claims.,
7000043,The issuer in the client assertion {issuer} is not allowed to override Fabric resource IDs and trust mode claims.,
7000110,"Request is ambiguous, multiple application identifiers found.",https://learn.microsoft.com/troubleshoot/azure/entra/entra-id/app-integration/error-code-aadsts7000110-request-is-ambiguous
7000112,Application '{appIdentifier}'({appName}) is disabled.,
7000113,Application '{appIdentifier}' is not authorized to make application on-behalf-of calls.,
7000114,Application '{appIdentifier}' is not allowed to make application on-behalf-of calls.,
7000115,This grant is reedemable only by broker application.,
7000116,Client application '{appIdentifier}'({appName}) is disabled in tenant {tenant}. Please review the documentation: https://go.microsoft.com/fwlink/?linkid=2167553,
